il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
791,BA0375/2021,18910,NG YUH CHOO,Puchong Healthcare Sdn Bhd [AA Pharmacy],"No. 14G,Jalan Kenari 1 Bandar Puchong Jaya,47100,Puchong,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
792,BA0376/2021,18911,EE AI LIN,Columbia Asia Sdn Bhd [Columbia Asia Hospital-Cheras],"Lot 33107,Jalan Suakasih,43200,Cheras,Hulu Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
793,BA0377/2021,18912,LAU SHIN YEE,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"No 10 Tingkat Bawah,Jalan Kasawari 5 Taman Eng Ann,41150,Klang,Klang,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
794,BA0378/2021,18913,CHAU AI LING,Jonhtks Pharmacy Sdn Bhd [Multicare Pharmacy],"No 5, 7 & 9,Jalan SG 1/3 Taman Sri Gombak,68100,Batu Caves,Gombak,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
795,BA0379/2021,18914,MICHELLE BRENDA DASS A/P UTAMA DASS,Jonhtks Pharmacy Sdn Bhd [Multicare Farmasi],"22G,Jalan Pandan Indah 4/8 Pandan Indah,55100,Kuala Lumpur,Kuala Lumpur,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
796,BA0380/2021,18915,YONG FEN BIN,Bemed Tempua Sdn Bhd [Be Pharmacy],"4G,Jalan Tempua 2A Bandar Puchong Jaya,47100,Puchong,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
797,BA0381/2021,18916,WONG HEAN KONG,Klang Chemist Sdn Bhd [Farmasi Klang],"No 12,Jalan Tiara 2 Bandar Baru Klang,41150,Klang,Klang,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
798,BA0382/2021,18917,LIM EE FOONG,Multicare Pharmacy (L & L) Sdn Bhd [Multicare Pharmacy],"No 18,Jalan Temenggung 3/9 Seksyen 9, Bandar Mahkota Cheras,43200,Cheras,Hulu Langat,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
799,BA0383/2021,18918,AMY LIM HOOI LING,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"364,Jalan 1A/3 Bandar Baru Sungai Buloh Seksyen U20,40160,Sungai Buloh,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
800,BA0384/2021,18919,KOAY LAY SIN,Sea Park Healthcare Sdn Bhd [AA Pharmacy],"No. 19,Jalan 21/17 Sea Park,46300,Petaling Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
801,BA0385/2021,18920,LEE WOON CHENG,Farmasi Excel,"45-1,Jalan Cecawi PSB 6/19A Seksyen 6 Kota Damansara,47810,Petaling Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
802,BA0386/2021,18921,KOAY AI WEN,Alpro Alliance Sdn Bhd [Farmasi Alpro],"No 238-G, Tingkat Bawah,Jalan Sungai Bertek, Teluk Pulai,41100,Klang,Klang,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
803,BA0387/2021,18922,CHANG FOONG CHING,Monarch Pharma Sdn Bhd,"E-G-8 Parklane Commercial Hub,Jalan SS 7/26 Kelana Jaya,47301,Petaling Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
804,BA0388/2021,18923,DEEPAA A/P MUTHU KUMAR,Ascen Plus Pharmacy Sdn Bhd,"P-G-15, Tropicana Avenue,Persiaran Tropicana,47410,Petaling Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
805,BA0389/2021,18924,LUANA VAHDATI CHANDRA SEKARAN,Rxidence Compounding Sdn Bhd [Farmasi Rxidence],"No 37 Pusat Perdagangan One Puchong,Jalan OP 1/1 Off Jalan Puchong,47160,Puchong,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,3/8/2021,Runcit
806,BA0390/2021,18925,M.S.KIRUBANANTHAM A/L S MUTHUSAMY,Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],"Unit P1-29 Shaftsbury Square,Persiaran Multimedia Cyber 6,63000,Cyberjaya,Sepang,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
807,BA0391/2021,18926,NG HUI HONG,Luen Wah Medical Co Sdn Bhd,"No 53-2, 49-G & 49-1 The Highway Centre,Jalan 51/205,46050,Petaling Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Borong
808,BA0392/2021,18927,TAN WOAN LIN,Caring Pharmacy Sdn Bhd,"Lot LG-25 Damen USJ, No 1,Persiaran Kewajipan USJ 1,47600,Subang Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Runcit
809,BA0393/2021,18928,CHOW KWAI BENG A/L CHOW YING CHEOK,Delfi Marketing Sdn Bhd,"Level 6 Block A Sky Park One City,Jalan USJ 25/1,47650,Subang Jaya,Petaling,Selangor",30/10/2020,1/1/2021,31/12/2021,,Borong
810,BA0394/2021,18930,WONG YOKE FAH,Radiancecare Pharmacy Sdn Bhd,"19,Jalan Damai Perdana 1/8B Bandar Damai Perdana,56000,Cheras,Hulu Langat,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
811,BA0395/2021,18931,MAH CHEN HONG,Orbit Medica Sdn Bhd,"No 71,Jalan Tpk 2/8 Taman Perindustrian Kinrara,47180,Puchong,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,21/07/2021,Borong
812,BA0396/2021,18932,NURUL AFIQAH BINTI HEFFNY,Ampang Puteri Specialist Hospital Sdn Bhd [Ampang Puteri Specialist Hospital],"1,Jalan Mamanda 9 Taman Dato' Ahmad Razali,68000,Ampang,Hulu Langat,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
813,BA0397/2021,18933,MOHD RIDHWAN BIN KALANTAR MASTAN,Pharmaniaga Manufacturing Berhad,"11A,Jalan P/1 Kawasan Perusahaan Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",31/10/2020,1/1/2021,31/12/2021,,Borong
814,BA0398/2021,18934,ONG CHIEW YUE,BE Pharmacy,"23 & 25,Jalan Kekwa 1 Taman Puchong Perdana,47100,Puchong,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
815,BA0399/2021,18935,NG XIN HUI,Twinscare Pharmacy Sdn Bhd [Multicare Pharmacy],"10,Jalan 2/12, Bandar Baru Selayang,68100,Batu Caves,Gombak,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
816,BA0400/2021,18936,TAN LEAN BOON,Caring Pharmacy Retail Management Sdn Bhd [Caring Pharmacy],"No 1,Jalan 51/203A Kawasan Perindustrian Tiong Nam Seksyen 51,46050,Petaling Jaya,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,,Borong
817,BA0401/2021,18937,ANG GIRL BEE,Abio Marketing Sdn Bhd,"No 2,Jalan SS 13/5,47500,Subang Jaya,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,,Borong
818,BA0402/2021,18938,KOH KEAT HOON,Agritech Enterprise Sdn Bhd,"No.15 & 17,Jalan Teknologi 3/5A Pusat Teknologi Sinar Damansara PJU 5 Kota Damansara,47810,Petaling Jaya,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
819,BA0403/2021,18939,LOO SIN PEI,Yunion Pharmacy,"No 74G,Jalan Bunga Tanjung 8 Taman Muda,68000,Ampang,Hulu Langat,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
820,BA0404/2021,18940,LAU JEE HONG,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"No 80 Tingkat Bawah,Jalan Besar Pekan Kapar,42200,Klang,Klang,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
821,BA0405/2021,18941,YIEW KAN MI,Columbia Asia Sdn Bhd [Columbia Asia Hospital],"PT 71153,Jalan Mahkota 1/KU 2 Mutiara Bukit Raja 2,41050,Klang,Klang,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
822,BA0406/2021,18942,MOHD ALFAZARI BIN MOHD GHAZALI,Next Gene Scientific Sdn Bhd,"No 7 2nd Floor,Jalan Puteri 1/7 Bandar Puteri,47100,Puchong,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,,Borong
823,BA0407/2021,18943,WONG LI VEN,RSD Hospitals Sdn Bhd [Subang Jaya Medical Centre],"No 1,Jalan SS 12/1A,47500,Subang Jaya,Petaling,Selangor",31/10/2020,1/1/2021,31/12/2021,,Runcit
824,BA0408/2021,18944,MOK SIEW KENG,Watson's Personal Care Store Sdn Bhd,"Lot G38, Ground Floor, IOI Mall,Bandar Puchong Jaya,47100,Puchong,Petaling,Selangor",1/11/2020,1/1/2021,31/12/2021,6/1/2021,Runcit
825,BA0409/2021,18945,OOI HOOI CHUNG,Watson's Personal Care Stores Sdn Bhd,"Lot LG44, LG55, LG56 Tingkat LG, Central I-City, No 1,Persiaran Multimedia Seksyen 7,40000,Shah Alam,Petaling,Selangor",1/11/2020,1/1/2021,31/12/2021,,Runcit
826,BA0410/2021,18946,AINI FADZILLAH BINTI FADZIL,Kinrara Agency Sdn Bhd [A & S Wellness Pharmacy],"No 30-G,Jalan PUJ 3/13 Taman Puncak Jalil, Bandar Putra Permai,43300,Seri Kembangan,Hulu Langat,Selangor",1/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
827,BA0411/2021,18947,LIM YEE VOON,Farmasi Sri Gombak Sdn Bhd [Farmasi Alpha.Com],"16,Jalan SG 1/5 Taman Sri Gombak,68100,Batu Caves,Gombak,Selangor",1/11/2020,1/1/2021,31/12/2021,,Runcit
828,BA0412/2021,18948,FATHI IZDIHAR BIN ABDULL SUKOR,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",1/11/2020,1/1/2021,31/12/2021,,Runcit
829,BA0413/2021,18949,WONG WEI EN,Pronature Pharmacy Sdn Bhd [Farmasi Pronature],"No 35-01,Jalan Kenari 19A Bandar Puchong Jaya,47170,Puchong,Petaling,Selangor",1/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
830,BA0414/2021,18950,YANG SHIN LI,TLC Veterinary Services,"1,Jalan Anggerik Tainia AY 31/AY Kota Kemuning Seksyen 31,40460,Shah Alam,Petaling,Selangor",1/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
831,BA0415/2021,18951,ONG BEE LEAN,Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],"Lot G05 Ground Floor Aeon Rawang Shopping Centre No 1,Persiaran Anggun,48000,Rawang,Gombak,Selangor",1/11/2020,1/1/2021,31/12/2021,,Runcit
832,BA0416/2021,18952,LIM CHEOW SEONG,Slim Pharmacy Sdn Bhd,"No. 33G,Jalan Orkid 2B Seksyen BS 2 Bukit Sentosa,48300,Rawang,Gombak,Selangor",1/11/2020,1/1/2021,31/12/2021,,Runcit
833,BA0417/2021,18958,WEE CHA WEI,Watson's Personal Care Stores Sdn Bhd,"G02 Aeon Bukit Tinggi Shopping Centre No 1,Persiaran Batu Nilam 1/KS6 Bandar Bukit Tinggi 2,41200,Klang,Klang,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
834,BA0418/2021,18959,CHEN YEE OON,Sea Park Healthcare Sdn Bhd [AA Pharmacy],"No. 19,Jalan 21/17 Sea Park,46300,Petaling Jaya,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
835,BA0419/2021,18960,TAN PEI YEE,Kajang Healthcare Sdn Bhd [AA PHARMACY],"No 11-G,Jalan Raja Harun,43000,Kajang,Hulu Langat,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
836,BA0420/2021,18961,PHUA LAY KOON,Abbott Laboratories (Malaysia) Sdn Bhd,"No. 22,Jalan Pemaju U1/15 Seksyen U1 Hicom Glenmarie Industrial Park,40150,Shah Alam,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Borong
837,BA0421/2021,18962,CHIN NYIT CHIN,Jaya Pelita Pharma (M) Sdn Bhd,"No 33G,Jalan Pluto AZ U5/AZ Bandar Pinggiran Subang Seksyen U5,40150,Shah Alam,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Borong
838,BA0422/2021,18963,TAN POH GEIK,Health Lane Family Pharmacy Sdn Bhd,"Lot 30938,Jalan KPB 6 Kawasan Perindustrian Kg Baru Balakong,43300,Seri Kembangan,Hulu Langat,Selangor",2/11/2020,1/1/2021,31/12/2021,,Borong
839,BA0423/2021,18964,MAHFUZA BINTI TURMAN,Farmasi Ariv Vision (Bandar Putera 2) Sdn Bhd [Farmasi Ariv],"No 15-G,Jalan Kebun Nenas 3B/KS8 Bandar Putera 2,41200,Klang,Klang,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
840,BA0424/2021,18965,NG SWEE HONG,Gladron Chemicals Sdn Bhd,"7,Jalan TP7 UEP Industrial Park,40400,Shah Alam,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
841,BA0425/2021,18966,TAN KEE TENG,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
842,BA0426/2021,18967,CHOW SOON YEE,Takeda Malaysia Sdn Bhd,"Unit TB-L 13-1 Level 13 Tower B Plaza 33 No 1,Jalan Kemajuan Seksyen 13,46200,Petaling Jaya,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Borong
843,BA0427/2021,18968,LIM SHIH JIE,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"No 80 Tingkat Bawah,Jalan Besar Pekan Kapar,42200,Klang,Klang,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
844,BA0428/2021,18969,SULAIMAN BIN HAJI AHMAD,Kinrara Agency Sdn Bhd [A & S Wellness Pharmacy],"No 17,Jalan SP 4/29 Bandar Saujana Putra,42610,Jenjarom,Kuala Langat,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
845,BA0429/2021,18970,YAP CHOON LENG,Klang Chemist Sdn Bhd [Farmasi Klang],"No 12,Jalan Tiara 2,41150,Bandar Baru Klang,Klang,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
846,BA0430/2021,18971,HAN WEN LEE,K3 Pharmacy Sdn Bhd,"Unit No 17-G,Jalan Prima Utama 1A Taman Puchong Prima,47150,Puchong,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Runcit
847,BA0431/2021,18972,TAN KAH CHEE,Farmasi Omnicare Sdn Bhd [Farmasi Alpha.com],"No 76,Jalan Othman,46000,Petaling Jaya,Petaling,Selangor",2/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
848,BA0432/2021,18973,YEW WEI TARNG,Eisai Malaysia Sdn Bhd,"Unit 701D, Level 7, Tower D, Uptown 5, No. 5,Jalan SS 21/39 Damansara Utama,47400,Petaling Jaya,Petaling,Selangor",3/11/2020,1/1/2021,31/12/2021,,Borong
849,BA0433/2021,18974,MUHAMMAD FARAHI 'ARIF BIN TAJUL ARIFFIN,Nota Arif Sdn Bhd [Farmasi Arif Sihat],"53-G,Jalan 7/7C Seksyen 7,43650,Bandar Baru Bangi,Hulu Langat,Selangor",3/11/2020,1/1/2021,31/12/2021,2/6/2021,Borong & Runcit
850,BA0434/2021,18975,HAZRINA BINTI HAMID,Siti Pharma Sdn Bhd,"No.56,Jalan Bunga Pekan,42700,Banting,Kuala Langat,Selangor",3/11/2020,1/1/2021,31/12/2021,,Borong
851,BA0435/2021,18976,MUHAMMAD HELMI BIN MAD HASIM,AHM GT RESOURCES [Farmasi Aisyah],"73-G,Jalan Warisan Sentral 1 KIP Sentral Kota Warisan,43900,Sepang,Sepang,Selangor",3/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
852,BA0436/2021,18977,YONG KAR MUN,A. Menarini Singapore Pte. Ltd,"B-18-2, Level 18, The Ascent Paradigm, No.1,Jalan SS 7/26A Kelana Jaya,47301,Petaling Jaya,Petaling,Selangor",3/11/2020,1/1/2021,31/12/2021,,Borong
853,BA0437/2021,18980,NG KE HONG,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"No 26,Jalan KP 1/1 Taman Kajang Prima,43000,Kajang,Hulu Langat,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
854,BA0438/2021,18981,CHAN SOON YAN,Alpro Alliance Sdn Bhd [Farmasi Alpro],"No 61,Jalan Anggerik Vanilla N 31/N Kota Kemuning Seksyen 31,40460,Shah Alam,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
855,BA0439/2021,18982,THAM KUAN HEONG,Farmasi Goodmedic (Bkt. Mewah) Sdn Bhd,"3,Jalan Bukit Mewah 11 Taman Bukit Mewah,43000,Kajang,Hulu Langat,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
856,BA0440/2021,18983,LAU YET GHEE,Wellmex Sdn Bhd,"PT11043,Jalan Tengas 1A, Taman Perindustrian Tengas,44300,Hulu Yam Bharu,Hulu Selangor,Selangor",4/11/2020,1/1/2021,31/12/2021,16/05/2021,Borong
857,BA0441/2021,18984,ENG KWONG HOWE,51 Avenue Pharmacy Sdn Bhd [Farmasi Alpha.com],"No 50, 51 & 51A,Jalan Raja Harun,43000,Kajang,Hulu Langat,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
858,BA0442/2021,18985,CHIN YI LYNN SARAH,Y.S.P. Industries (M) Sdn Bhd,"Lot 3, 5 & 7,Jalan P/7 Seksyen 13 Kawasan Perindustrian Bandar Baru Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong
859,BA0443/2021,18987,ANDREW CHUNG,Quantarad Technologies Sdn Bhd,"18, Blok B,Jalan PJU 1A/3 Taipan 2 Damansara Ara Damansara,47301,Petaling Jaya,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong
860,BA0444/2021,18986,NORLAILI BINTI AHMAD,Blu Plus Pharma Sdn Bhd [Plus Pharmacy],"G068,Jalan Warisan Sentral 2 KIP Sentral Kota Warisan,43900,Sepang,Sepang,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
861,BA0445/2021,18988,CHOONG MEI KENG,Watson's Personal Care Stores Sdn Bhd,"Lot L1-12 & L1-13 Level 1 The Mines Shopping Centre,Jalan Dulang Off Jalan Balakong,43300,Seri Kembangan,Hulu Langat,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
862,BA0446/2021,18989,TAN BEE LIAN,Salam Medical Centre Sdn Bhd [Shah Alam Specialist Hospital],"2-14,Jalan Nelayan 19/B Seksyen 19,40300,Shah Alam,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
863,BA0447/2021,18990,NG CHOONG SING,Farmasi Rawang Sdn Bhd [Farmasi Alpha.com],"No. 19,Jalan Maxwell,48000,Rawang,Gombak,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
864,BA0448/2021,18991,RUBHINI A/P PANNERSELVAN,Qualitas Pharma Sdn Bhd,"No 23,Jalan PJS 11/1 Bandar Sunway,47500,Subang Jaya,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong
865,BA0449/2021,18992,LIEW WAI KUAN,Medicara Sdn Bhd [MediCara],"1-2,Jalan DU 2/1 Taman Damai Utama,47180,Puchong,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong
866,BA0450/2021,18993,CARYN CHEW,Medispec (M) Sdn Bhd,"B-1-07,08,09,10, B-2-07 & B-2-10, B-3-07,08,09,10 & B-4-07,08,09,10,Jalan Ss 25/22 Mayang Avenue,47301,Petaling Jaya,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong
867,BA0451/2021,18994,INTAN ZARINA BINTI NGAH HASSAN,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"No 5,Jalan Tengku Ampuan Zabedah E 9/E Seksyen 9,40100,Shah Alam,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
868,BA0452/2021,18995,PONG CHEAN YEEN,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"No 53,Jalan Negara Taman Melawati,53100,Kuala Lumpur,Kuala Lumpur,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
869,BA0453/2021,18996,SITI NORAISHAH BINTI HASSAN,Farmasi Kuang,"No 3 Masgenuine Square,Jalan Melati Kuang,48050,Rawang,Gombak,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
870,BA0454/2021,18997,YAP LYE LEEN,Columbia Asia Sdn Bhd [Columbia Asia Hospital Puchong],"No 1,Lebuh Puteri Bandar Puteri Puchong,47100,Puchong,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
871,BA0455/2021,18998,THAM KONG WENG,Connell Bros. Company (Malaysia) Sdn Bhd,"6,Jalan Kontraktor U1/14 Hicom Glenmarie Industrial Park Seksyen U1,40150,Shah Alam,Petaling,Selangor",4/11/2020,1/1/2021,31/12/2021,,Borong
872,BA0456/2021,18999,LUI SOEK MEI,Sunbright Pharmacy Sdn Bhd,"37G,Jalan S/Sentral 1 Taman Semenyih Sentral,43500,Semenyih,Hulu Langat,Selangor",4/11/2020,1/1/2021,31/12/2021,,Runcit
873,BA0457/2021,19000,CHEW NGEE HOONG,Bio Care Pharmaceutical (M) Sdn Bhd,"28G, 28-1 & 28-2, Pusat Dagangan PJCC,Jalan PJS 5/28,46150,Petaling Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong
874,BA0458/2021,19001,KOAY TZE JUIN,One Berjasa Sdn Bhd [Firstcare Pharmacy],"Lot 109, Tingkat G, Blok 3, Pangsapuri Anggerik Indah,Jalan 16/7 Seksyen 16,40200,Shah Alam,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
875,BA0459/2021,19002,TAN XI YI,Sun Healthcare (M) Sdn Bhd,"21,Jalan Tandang 51/205A Seksyen 51,46050,Petaling Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong
876,BA0460/2021,19003,CHEONG CHU SUN,PK Agro-Industrial Products (M) Sdn Bhd,"No. 3-1,Jalan Makyong 5E/KU5 Bandar Bukit Raja,41050,Klang,Klang,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
877,BA0461/2021,19004,FOONG SEONG HENG,Pronature Pharmacy Sdn Bhd [Farmasi Pronature],"No 35-01,Jalan Kenari 19A Bandar Puchong Jaya,47170,Puchong,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
878,BA0462/2021,19005,CHONG JUNG YEW,Caring Pharmacy Sdn Bhd,"Lot 20 E-H LG Floor,Subang Parade,47500,Subang Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
879,BA0463/2021,19006,TAN WIN WIN,Bandar Baru Klang Specialist Hospital Sdn Bhd [KPJ Klang Specialist Hospital],"No 102,Persiaran Rajawali/KU 1 Bandar Baru Klang,41150,Klang,Klang,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
880,BA0464/2021,19007,NG YIN NEE,Biofresh Growth Sdn Bhd [Farmasi Kim Chuan],"No 168,Jalan Batu Unjur 1 Taman Bayu Perdana,41200,Klang,Klang,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
881,BA0465/2021,19008,LIM SIEW CHEN,United Italian Trading (M) Sdn Bhd,"25th Floor, PJX, No.16A,Jalan Persiaran Barat,46050,Petaling Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong
882,BA0466/2021,19009,NOR HAYATI BINTI HUSSIEN,Tree Med Sdn Bhd,"63,Jalan Cecawi 6/33 Kota Damansara PJU 5,47810,Petaling Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong
883,BA0467/2021,19010,TAN LUI LEE,One Caring Pharmacy Sdn Bhd [Caring Pharmacy],"Lot 2 GL 2 No 1 Plaza Jelutong,Persiaran Gerbang Utama Bukit Jelutong Seksyen U8,40150,Shah Alam,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
884,BA0468/2021,19011,NUR SYAZWANI BINTI TARIDI,Blu Plus Pharma Sdn Bhd [Plus Pharmacy],"36-G,Jalan TPS 1/2 Taman Pelangi Semenyih,43500,Semenyih,Hulu Langat,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
885,BA0469/2021,19012,NUR ATHIRAH BINTI MOHAMAD IDRIS,Pharmaniaga Logistics Sdn Bhd,"No 7,Lorong Keluli 1B Kawasan Perindustrian Bukit Raja Selatan Seksyen 7,40000,Shah Alam,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong
886,BA0470/2021,19013,LOO CHING HSIN,Tonic Pharma Sdn Bhd [Caring Pharmacy],"15,Jalan Tanjung SD 13/1, Bandar Sri Damansara,52200,Kuala Lumpur,Kuala Lumpur,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
887,BA0471/2021,19014,SIOW JING YONG,Juzcare Pharmacy Sdn Bhd [Farmasi Juzcare],"10-G & 10-1,Jalan J-Avenue, J-Avenue,43200,Cheras,Hulu Langat,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
888,BA0472/2021,19015,MOHAMMAD IQBAL BIN MUSA,Watson's Personal Care Stores Sdn Bhd,"G02 Aeon Bukit Tinggi Shopping Centre No 1,Persiaran Batu Nilam 1/KS6 Bandar Bukit Tinggi 2,41200,Klang,Klang,Selangor",5/11/2020,1/1/2021,31/12/2021,3/1/2021,Runcit
889,BA0473/2021,19016,SIOW LEE KIANG,Farmasi Lemed Sdn Bhd,"7,Jalan Sulaiman,43000,Kajang,Hulu Langat,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
890,BA0474/2021,19017,TANG WEI PING,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"No 7, Tingkat G,Jalan U1/34 Glenmarie Seksyen U1,40150,Shah Alam,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
891,BA0475/2021,19018,ONG CHIN YEE,Caring Trinity Sdn Bhd [Caring Pharmacy],"Lot-20 LG Floor Dpulze Shopping Centre Blok A Cyberjaya CBD,Persiaran Multimedia Cyber 12,63000,Cyberjaya,Sepang,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
892,BA0476/2021,19019,BELINDA YEO HUI CHIN,Guardian Health and Beauty Sdn Bhd,"Lot No. 100-P2.019,P2.021 & P2.023, Jaya One 72A,Jalan Universiti,46200,Petaling Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
893,BA0477/2021,19020,YOON HIN SIANG,Komedic Sdn Bhd,"4,Jalan PJS 11/14 Bandar Sunway,46150,Petaling Jaya,Petaling,Selangor",5/11/2020,1/1/2021,31/12/2021,,Borong
894,BA0478/2021,19021,LEE YIN WEI,Vcare Pharmacy Sdn Bhd [Farmasi Vcare],"No. 56 Ground Floor,Jalan Seri Putra 1/4 Bandar Seri Putra,43000,Kajang,Hulu Langat,Selangor",5/11/2020,1/1/2021,31/12/2021,,Runcit
